family,combination,enzymes,total_junctions,both_unique,both_unique_zero_missed,intact_only,mature_only,neither,both_detectable,proteins_with_both,total_proteins,pct_both_unique
single,Trypsin,Trypsin,56,46,24,8,0,2,46,28,31,82.14285714285714
single,Trypsin/Lys-C,Trypsin;Lys-C,56,48,32,6,0,2,48,30,31,85.71428571428571
single,Chymotrypsin,Chymotrypsin,56,45,28,2,9,0,45,29,31,80.35714285714286
single,Lys-N,Lys-N,56,28,23,6,11,11,28,20,31,50.0
single,Glu-C,Glu-C,56,36,27,7,9,4,36,23,31,64.28571428571429
single,Asp-N,Asp-N,56,42,25,9,4,1,42,24,31,75.0
single,Arg-N,Arg-N,56,38,24,3,7,8,38,27,31,67.85714285714286
single,ProAlanase,ProAlanase,56,52,22,4,0,0,52,28,31,92.85714285714286
single,Elastase,Elastase,56,43,6,13,0,0,43,23,31,76.78571428571429
single,Pepsin,Pepsin,56,43,27,11,1,1,44,23,31,76.78571428571429
two,Trypsin/Lys-C + Chymotrypsin,Trypsin;Lys-C;Chymotrypsin,56,55,46,0,1,0,55,31,31,98.21428571428571
two,Trypsin/Lys-C + Lys-N,Trypsin;Lys-C;Lys-N,56,53,37,1,0,2,53,31,31,94.64285714285714
two,Trypsin/Lys-C + Glu-C,Trypsin;Lys-C;Glu-C,56,55,44,1,0,0,55,31,31,98.21428571428571
two,Trypsin/Lys-C + Asp-N,Trypsin;Lys-C;Asp-N,56,54,44,2,0,0,54,31,31,96.42857142857143
two,Trypsin/Lys-C + Arg-N,Trypsin;Lys-C;Arg-N,56,52,44,2,0,2,52,31,31,92.85714285714286
two,Trypsin/Lys-C + ProAlanase,Trypsin;Lys-C;ProAlanase,56,56,45,0,0,0,56,31,31,100.0
two,Trypsin/Lys-C + Elastase,Trypsin;Lys-C;Elastase,56,56,36,0,0,0,56,31,31,100.0
two,Trypsin/Lys-C + Pepsin,Trypsin;Lys-C;Pepsin,56,55,43,1,0,0,55,31,31,98.21428571428571
three,Trypsin/Lys-C + Chymotrypsin + Lys-N,Trypsin;Lys-C;Chymotrypsin;Lys-N,56,55,49,0,1,0,55,31,31,98.21428571428571
three,Trypsin/Lys-C + Chymotrypsin + Glu-C,Trypsin;Lys-C;Chymotrypsin;Glu-C,56,56,53,0,0,0,56,31,31,100.0
three,Trypsin/Lys-C + Chymotrypsin + Asp-N,Trypsin;Lys-C;Chymotrypsin;Asp-N,56,56,51,0,0,0,56,31,31,100.0
three,Trypsin/Lys-C + Chymotrypsin + Arg-N,Trypsin;Lys-C;Chymotrypsin;Arg-N,56,55,51,0,1,0,55,31,31,98.21428571428571
three,Trypsin/Lys-C + Chymotrypsin + ProAlanase,Trypsin;Lys-C;Chymotrypsin;ProAlanase,56,56,51,0,0,0,56,31,31,100.0
three,Trypsin/Lys-C + Chymotrypsin + Elastase,Trypsin;Lys-C;Chymotrypsin;Elastase,56,56,49,0,0,0,56,31,31,100.0
three,Trypsin/Lys-C + Chymotrypsin + Pepsin,Trypsin;Lys-C;Chymotrypsin;Pepsin,56,56,49,0,0,0,56,31,31,100.0
three,Trypsin/Lys-C + Lys-N + Glu-C,Trypsin;Lys-C;Lys-N;Glu-C,56,55,47,1,0,0,55,31,31,98.21428571428571
three,Trypsin/Lys-C + Lys-N + Asp-N,Trypsin;Lys-C;Lys-N;Asp-N,56,55,49,1,0,0,55,31,31,98.21428571428571
three,Trypsin/Lys-C + Lys-N + Arg-N,Trypsin;Lys-C;Lys-N;Arg-N,56,54,47,0,0,2,54,31,31,96.42857142857143
three,Trypsin/Lys-C + Lys-N + ProAlanase,Trypsin;Lys-C;Lys-N;ProAlanase,56,56,47,0,0,0,56,31,31,100.0
three,Trypsin/Lys-C + Lys-N + Elastase,Trypsin;Lys-C;Lys-N;Elastase,56,56,40,0,0,0,56,31,31,100.0
three,Trypsin/Lys-C + Lys-N + Pepsin,Trypsin;Lys-C;Lys-N;Pepsin,56,56,47,0,0,0,56,31,31,100.0
three,Trypsin/Lys-C + Glu-C + Asp-N,Trypsin;Lys-C;Glu-C;Asp-N,56,55,51,1,0,0,55,31,31,98.21428571428571
three,Trypsin/Lys-C + Glu-C + Arg-N,Trypsin;Lys-C;Glu-C;Arg-N,56,56,51,0,0,0,56,31,31,100.0
three,Trypsin/Lys-C + Glu-C + ProAlanase,Trypsin;Lys-C;Glu-C;ProAlanase,56,56,52,0,0,0,56,31,31,100.0
three,Trypsin/Lys-C + Glu-C + Elastase,Trypsin;Lys-C;Glu-C;Elastase,56,56,49,0,0,0,56,31,31,100.0
three,Trypsin/Lys-C + Glu-C + Pepsin,Trypsin;Lys-C;Glu-C;Pepsin,56,56,53,0,0,0,56,31,31,100.0
three,Trypsin/Lys-C + Asp-N + Arg-N,Trypsin;Lys-C;Asp-N;Arg-N,56,56,51,0,0,0,56,31,31,100.0
three,Trypsin/Lys-C + Asp-N + ProAlanase,Trypsin;Lys-C;Asp-N;ProAlanase,56,56,50,0,0,0,56,31,31,100.0
three,Trypsin/Lys-C + Asp-N + Elastase,Trypsin;Lys-C;Asp-N;Elastase,56,56,46,0,0,0,56,31,31,100.0
three,Trypsin/Lys-C + Asp-N + Pepsin,Trypsin;Lys-C;Asp-N;Pepsin,56,56,51,0,0,0,56,31,31,100.0
three,Trypsin/Lys-C + Arg-N + ProAlanase,Trypsin;Lys-C;Arg-N;ProAlanase,56,56,49,0,0,0,56,31,31,100.0
three,Trypsin/Lys-C + Arg-N + Elastase,Trypsin;Lys-C;Arg-N;Elastase,56,56,44,0,0,0,56,31,31,100.0
three,Trypsin/Lys-C + Arg-N + Pepsin,Trypsin;Lys-C;Arg-N;Pepsin,56,56,51,0,0,0,56,31,31,100.0
three,Trypsin/Lys-C + ProAlanase + Elastase,Trypsin;Lys-C;ProAlanase;Elastase,56,56,46,0,0,0,56,31,31,100.0
three,Trypsin/Lys-C + ProAlanase + Pepsin,Trypsin;Lys-C;ProAlanase;Pepsin,56,56,48,0,0,0,56,31,31,100.0
three,Trypsin/Lys-C + Elastase + Pepsin,Trypsin;Lys-C;Elastase;Pepsin,56,56,46,0,0,0,56,31,31,100.0
