combination,enzymes,label,covered_residues,total_residues,residue_weighted_pct,median_pct,kr_baseline_pct,gain_over_kr_pct
Trypsin/Lys-C + ProAlanase,Trypsin;Lys-C;ProAlanase,K+R+L,11331263,11418104,99.23944465736167,100.0,97.02147571961159,2.2179689377500864
Trypsin/Lys-C + ProAlanase,Trypsin;Lys-C;ProAlanase,K+R+T,11313306,11418104,99.08217686579138,100.0,97.02147571961159,2.0607011461797953
Trypsin/Lys-C + ProAlanase,Trypsin;Lys-C;ProAlanase,K+R+I,11240233,11418104,98.4422019627777,100.0,97.02147571961159,1.420726243166115
Trypsin/Lys-C + ProAlanase,Trypsin;Lys-C;ProAlanase,K+R+V,11300499,11418104,98.97001288480119,100.0,97.02147571961159,1.948537165189606
Trypsin/Lys-C + ProAlanase,Trypsin;Lys-C;ProAlanase,K+R+H,11210642,11418104,98.18304334940372,100.0,97.02147571961159,1.1615676297921311
Trypsin/Lys-C + Elastase,Trypsin;Lys-C;Elastase,K+R+L,11319339,11418104,99.13501400933114,100.0,96.23230792082468,2.902706088506463
Trypsin/Lys-C + Elastase,Trypsin;Lys-C;Elastase,K+R+T,11265377,11418104,98.66241365466631,100.0,96.23230792082468,2.4301057338416285
Trypsin/Lys-C + Elastase,Trypsin;Lys-C;Elastase,K+R+I,11186094,11418104,97.96805143831234,100.0,96.23230792082468,1.7357435174876628
Trypsin/Lys-C + Elastase,Trypsin;Lys-C;Elastase,K+R+V,11261876,11418104,98.63175182149331,100.0,96.23230792082468,2.3994439006686292
Trypsin/Lys-C + Elastase,Trypsin;Lys-C;Elastase,K+R+H,11135646,11418104,97.52622677109964,100.0,96.23230792082468,1.293918850274963
Trypsin/Lys-C + Pepsin,Trypsin;Lys-C;Pepsin,K+R+L,11316429,11418104,99.10952816684802,100.0,96.60166871837916,2.5078594484688637
Trypsin/Lys-C + Pepsin,Trypsin;Lys-C;Pepsin,K+R+T,11257352,11418104,98.59213053235459,100.0,96.60166871837916,1.990461813975429
Trypsin/Lys-C + Pepsin,Trypsin;Lys-C;Pepsin,K+R+I,11204641,11418104,98.13048646255105,100.0,96.60166871837916,1.5288177441718886
Trypsin/Lys-C + Pepsin,Trypsin;Lys-C;Pepsin,K+R+V,11254482,11418104,98.56699501073032,100.0,96.60166871837916,1.9653262923511647
Trypsin/Lys-C + Pepsin,Trypsin;Lys-C;Pepsin,K+R+H,11160029,11418104,97.73977360864816,100.0,96.60166871837916,1.1381048902690054
Trypsin/Lys-C + ProAlanase + Elastase,Trypsin;Lys-C;ProAlanase;Elastase,K+R+L,11379819,11418104,99.6646991479496,100.0,97.50443681367764,2.1602623342719625
Trypsin/Lys-C + ProAlanase + Elastase,Trypsin;Lys-C;ProAlanase;Elastase,K+R+T,11359992,11418104,99.49105385622691,100.0,97.50443681367764,1.9866170425492697
Trypsin/Lys-C + ProAlanase + Elastase,Trypsin;Lys-C;ProAlanase;Elastase,K+R+I,11296794,11418104,98.93756441524792,100.0,97.50443681367764,1.433127601570277
Trypsin/Lys-C + ProAlanase + Elastase,Trypsin;Lys-C;ProAlanase;Elastase,K+R+V,11356448,11418104,99.46001542813063,100.0,97.50443681367764,1.955578614452989
Trypsin/Lys-C + ProAlanase + Elastase,Trypsin;Lys-C;ProAlanase;Elastase,K+R+H,11263885,11418104,98.64934668663028,100.0,97.50443681367764,1.1449098729526384
Trypsin/Lys-C + Chymotrypsin + Elastase,Trypsin;Lys-C;Chymotrypsin;Elastase,K+R+L,11378285,11418104,99.65126434301176,100.0,97.68373102924969,1.9675333137620754
Trypsin/Lys-C + Chymotrypsin + Elastase,Trypsin;Lys-C;Chymotrypsin;Elastase,K+R+T,11363890,11418104,99.52519262392426,100.0,97.68373102924969,1.8414615946745698
Trypsin/Lys-C + Chymotrypsin + Elastase,Trypsin;Lys-C;Chymotrypsin;Elastase,K+R+I,11308279,11418104,99.0381502918523,100.0,97.68373102924969,1.3544192626026188
Trypsin/Lys-C + Chymotrypsin + Elastase,Trypsin;Lys-C;Chymotrypsin;Elastase,K+R+V,11359025,11418104,99.48258484946362,100.0,97.68373102924969,1.7988538202139353
Trypsin/Lys-C + Chymotrypsin + Elastase,Trypsin;Lys-C;Chymotrypsin;Elastase,K+R+H,11272258,11418104,98.72267760041422,100.0,97.68373102924969,1.03894657116453
Trypsin/Lys-C + ProAlanase + Pepsin,Trypsin;Lys-C;ProAlanase;Pepsin,K+R+L,11381949,11418104,99.68335373368468,100.0,97.83434272450137,1.8490110091833145
Trypsin/Lys-C + ProAlanase + Pepsin,Trypsin;Lys-C;ProAlanase;Pepsin,K+R+T,11370080,11418104,99.5794047768351,100.0,97.83434272450137,1.7450620523337363
Trypsin/Lys-C + ProAlanase + Pepsin,Trypsin;Lys-C;ProAlanase;Pepsin,K+R+I,11316589,11418104,99.11092945028352,100.0,97.83434272450137,1.2765867257821526
Trypsin/Lys-C + ProAlanase + Pepsin,Trypsin;Lys-C;ProAlanase;Pepsin,K+R+V,11362093,11418104,99.50945445933931,100.0,97.83434272450137,1.675111734837941
Trypsin/Lys-C + ProAlanase + Pepsin,Trypsin;Lys-C;ProAlanase;Pepsin,K+R+H,11288249,11418104,98.86272712177083,100.0,97.83434272450137,1.0283843972694626
